0,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
127,cambridgeshirepeterborough2021,12.6,0,34.86139862,48.07846467,17.0601367,0,0.25,0.73,0.02
128,cambridgeshirepeterborough2021,12.7,0,34.81292379,48.07734402,17.10973219,0,0.25,0.73,0.02
129,cambridgeshirepeterborough2021,12.8,0,34.82463601,48.10785681,17.06750718,0,0.25,0.73,0.02
130,cambridgeshirepeterborough2021,12.9,0,34.81166837,48.09120698,17.09712466,0,0.25,0.73,0.02
131,cambridgeshirepeterborough2021,13,0,34.78286106,48.11689869,17.10024025,0,0.25,0.73,0.02
132,cambridgeshirepeterborough2021,13.1,0,34.83401648,48.06800947,17.09797405,0,0.25,0.73,0.02
133,cambridgeshirepeterborough2021,13.2,0,34.83284831,48.09218717,17.07496453,0,0.25,0.73,0.02
134,cambridgeshirepeterborough2021,13.3,0,34.85839644,48.05494895,17.0866546,0,0.25,0.72,0.02
135,cambridgeshirepeterborough2021,13.4,0,34.81268625,48.09563732,17.09167643,0,0.25,0.73,0.02
136,cambridgeshirepeterborough2021,13.5,0,34.8245987,48.09278715,17.08261415,0,0.25,0.73,0.02
137,cambridgeshirepeterborough2021,13.6,0,34.87326237,48.05859032,17.06814731,0,0.26,0.72,0.02
138,cambridgeshirepeterborough2021,13.7,0,34.78049849,48.14283018,17.07667132,0,0.25,0.73,0.02
139,cambridgeshirepeterborough2021,13.8,0,34.83705037,48.09502572,17.06792391,0,0.25,0.73,0.02
140,cambridgeshirepeterborough2021,13.9,0,34.82421761,48.03634193,17.13944046,0,0.25,0.73,0.02
141,cambridgeshirepeterborough2021,14,0,34.84026834,48.08819032,17.07154134,0,0.25,0.73,0.02
142,cambridgeshirepeterborough2021,14.1,0,34.7815391,48.1530184,17.0654425,0,0.25,0.73,0.02
143,cambridgeshirepeterborough2021,14.2,0,34.82596125,48.1153125,17.05872625,0,0.25,0.73,0.02
144,cambridgeshirepeterborough2021,14.3,0,34.81819437,48.0859725,17.09583312,0,0.25,0.73,0.02
